text,rate
"Здесь очень хорошие игроки. Они с уважением относятся к вашим родственникам. Узнал много интересного про своих родителей. Мне кажется, что все 4 тиммейта любят мою маму больше чем я сам. Иногда попадаются люди с проблемами позвоночника. Им приходится смотреть вниз при этом бегать по карте. Конечно они раздают фраги жёстко, но мне всё равно жалко таких людей-инвалидов которые родились с заболеванием позвоночника. Бывает, в катку закинет человека, который способен чувствовать противника через стены. Недолго думая мой тиммейт тоже решил овладеть такой способностью. Какая-то Битва Экстрасенсов получается. За эти 355 часов проведённых в этой замечательной игре я пополнил свой словарный запас матами на 100 томов. Ещё здесь можно встретить успешных самцов, которые переспали со всеми мамами света.",Рекомендую
"Я помню чудное мгновеньеЦзшка, Молотов и флешкаТащить я должен на длине,Но тут выходит враг ко мне.А я мой друг не растерялся,Мой верный Молотов взорвался,Врагам на зло в коробе той.Но вот и Молотов потух,И что же делать милый друг ?Пора милок достать цзшку,А с ней и флешку.И вот я флеш кидаю в них,Враг мой ослеп и тут же сник.А я к ним мчуся как стрела,В руке есть дрожь и нет скила.Но я отнюдь не забоялся,Я прям в коробу к ним ворвался,Не дожидаясь тиму с дна,Я сделал минус,Потом два.Потом еще, еще, еще !!!И вот он эйс мой долгожданный,Но тут очнулся я от сна.И вижу счет 16:2.P.s напишите в профиль я вам в ответ)",Рекомендую
"Товар получен бесплатно-Я понимаю что всем будет по*уй на мой коммент, но все же оставлю его тут, и многие со мной согласятся.Игра в целом неплохая, есть свои тактики, командная работа и т.п., но адекватной игре мешают люди, использовавшие читы (WallHack, Aimbot, ""Крутилка""). Когда ты со своей командой оооочень хорошо играешь, а люди такие: ""Дак у вас читы у всех, мы тоже подрубили))))."" И при просьбе отключить и отыграть нормально, они оставляют все как есть, и продолжают. А ты еще пое*ись дня 2, чтобы вернуть свое звание обратно.Вообщем итоги: если бы античит был лучше и качественней работал, все было бы на много лучше. Ну или же патрули хорошо работали.Кто прочитал, всем спасибо, люблю вас. Надеюсь вы со мной согласны <3",Рекомендую
"Жена сказала, если тут будет 1000 пальцев вверх и 100 наград то мне ящик пива купит.Всем хорошего приятного времяпровождения. А теперь обзор Counter-Strike: Global Offensive. Эта игра восхитительна! Господа очень вежливые, вежливо расскажут и покажут как пойти на детородный орган, как меня лошади сношали, что мой отчим делал со мной в детстве.Я очень рад что в этой великолепной и не разу не токсичной игре есть высококвалифицированные специалисты которые продиагностируют тебя и выявят все ваши недуги и болячки, даже если вы не просили.(Видимо очень беспокоются)И боже мой.. Я даже не знал что моя матушка знаменитость! Чуть ли не из уст каждого я слышу какая она прекрасная!Так же я завёл себе новых друзей которые очень настойчиво хотели приехать ко мне в город и показать мне на сколько прекрасен лес и хотели научить меня пользоваться лопатой. Видимо грибники.Люди здесь очень добрые и понимающие. И как говорится ""людям ошибаться свойственно"" но вы видимо не человек а даже ЛУЧШЕ, так как если вы ""совершите ошибку"" то вас ждут бурные эмоции и овации от союзников, и желание встретиться с вами и вашей матушкой(да она у меня на расхват) видимо чтобы пожать вам руку.Я даже потерял счёт сколько у меня на самом деле матерей. То я сын унитаза, подъезда, кролика, собаки, куртизанки, пробирки, выхухоля, клоуна, и даже табуретки.(Я даже не знал что у меня столько матерей, но благодаря обществу Counter-Strike: Global Offensive, я смог найти их. Спасибо вам!)",Рекомендую
Ээмм.. Супер! Пошел дальше играть.,Рекомендую
"Товар получен бесплатноЕсли тут будет один лайк, то я гей",Рекомендую
"ОЧЕНЬ ИНТЕРЕСНАЯ ИГРА.Такого разнообразия я ещё никогда не видела.ТОННЫ ОРУЖЭЙШЕН,ПРЕКРАСНАЯ ОПТИМИЗЭЙШН,ЧУДЕСНАЯ ГРАФЭЙШЕН,ЗА ДЕСЯТИЛЕЙШЕН ВИДНО КУЧА НОВЕЙШЕН.1 катка - В первой же игре встретила дипломированного доктора. Он сразу по своему опыту определил,какой у меня диагноз, а я даже не знала. Он сказал, что это неизлечимо, и я умру через неделю. Первая игра, и сразу встретила умного человека, я была приятно удивлена.2 катка - Встретила очень, очень далёкого родственника. Он сказал, что каждый день видится с моей мамой, поделился чем они занимаются в свободное время, рассказал, кто мой настоящий отец, а в конце игры пожелал мне счастья и здоровья. Мне всё больше начинает нравится эта игра.3 катка - Наша команда встретила волшебника. Он всю игру показывал нам фокусы: проходил сквозь стены, угадывал, где мы находимся (причём всегда правильно), а его магическое оружие всегда стреляло в зрачок левого глаза, даже если мы стояли СПИНОЙ. Но и это ещё не всё, он разрушил один устаревший и довольно популярный миф, взорвав нам мозги:оказывается 6 зарядный револьвер может сделать больше 6 выстрелов (намного больше). В конце игры, мы дружно аплодировали ему стоя, но жаль катка закончилась слишком быстро (мы проиграли), но волшебник обещал вернуться и сказал, что таких, как он очень много, и все они с радостью покажут нам новые фокусы.4 катка - Встретила каких-то людей, говорящих на странном языке. Они постоянно кричали мне KU..R..WA, я подумала, что это на их языке означает: ""Привет"", поэтому решила с ними поздороваться, но они почему-то обиделись и выгнали меня из игры. Мне дали бан на 7 дней.ИТОГ: очень разнообразный и интересный контингент, а главное добрый и общительный. Каждая ваша игра будет сказкой, наполненной радугой и единорогами.ВСЕМ ""РЕКОМЕНДУЮ"" ПРИЯТНЫЕ ЭМОЦИИ ГАРАНТИРОВАНЫ.",Рекомендую
No prime? Welcome to war of cheats!,Рекомендую
Пришёл koнец эрыБудем пoмнить вечнo,Рекомендую
"Всем привет. Раньше я не понимал, почему так много людей играет в это, но, зайдя в игру, я понял! Сказать, что я был шокирован- ничего не сказать. Как оказалось, моя мама ночная бабочка, а отец умер в болоте. Все это произошло после того, как я убил игрока, которому было лет 13 от силы. Замечательная игра с невероятными хит-боксами и физикой, прекрасные тиммейты турки, поляки, которые могут кикнуть лишь за то, что ты поздоровался с ними на русском. В общем, ставлю этой игре 10 из 10 агрессивных школьников по шкале ГЕЙБА.",Рекомендую
Товар получен бесплатноКто ставит лайк тот dolbaеб,Рекомендую
"Товар получен бесплатнообзоры никто не читает, поэтому скажу, что я гей",Рекомендую
"Итак, что же такое CS GO?- CS GO это когда раскраски оружия стоят дороже крутых игровых девайсов.- CS GO это когда ты обязан дропнуть свой красивый калаш всей команде.- CS GO это когда открываешь 20 сундуков и получаешь 20 кусков синего г**на.- CS GO это когда тебя добавляют школьники и предлагают over 9000 сундуков в обмен на твой нож.- CS GO это когда тебя добавляет школьник и начинает выпрашивать в подарок шмотку ценой в 3500 рублей, приводя при этом аргумент ""да ты ж богатый, что тебе стоит!"".- CS GO это когда тебе по 10 раз в день присылают ссылки на трояны в надежде обчистить твой инвентарь.- CS GO это когда тебя выгоняют только потому что ты Русский.- CS GO это когда ты спалил свой стул после игры в соревновательном режиме.- CS GO это когда ""глобалы"" создают по 10 аккаунтов и получают удовлетворение, играя против ""калашей"".- CS GO это когда ты Russian Noob, если остался против пятерых, убил четверых но не добил пятого.- CS GO это когда ты Russian Noob при счете 21-7-10, а у ближайшего тиммейта 8-0-16.- CS GO это когда ты выучил польский и шведский за одну-две катки.- CS GO это когда в соревновательном режиме поляков больше, чем в самой Польше.- CS GO это когда ты в одиночку открываешь А, а бомба уже про***на на Б.- CS GO это когда на твои советы и вопросы тебе отвечают ""stfu Russian"".- CS GO это когда про***л три звания за день только из-за того, что каждый раз играешь против ""глобалов"", играющих со второго аккаунта.- CS GO это когда каждый третий тиммейт - набустенный сильвер.- CS GO это когда против тебя играет пять ♥♥♥♥♥♥♥♥♥♥ов с АВП.- CS GO это когда одного ""беркута"" и четырех ""калашей"" кидает против пяти ""супримов"".- CS GO это когда высаживаешь все 30 патронов в одного ♥♥♥♥♥♥♥♥♥♥а и наносиишь 99 in 7, а тот рандомным выстрелом попадает тебе в голову.- CS GO это когда VAC показательно банит профессиональных игроков, но не может забанить ♥♥♥♥♥♥♥♥♥♥а, который простреливает всю команду через три стены, имея при этом 2.2 часа в игре.Кому понравился отзыв поставте палец вверх и напиши чтонибудь в профиле моем ! Спасибо!!!!Все это CS GO!!! Не Болейте!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",Рекомендую
зайти раз в неделю получить кейс и выйти,Не рекомендую
Если тут будет 2 лайка у удалю ксго и уйду готовить буузы!,Рекомендую
"очень крутая игра для того чтобы зайти один раз в неделю, получить сундук за 50 рублей и забыть до следующего сброса",Рекомендую
( ͡° ͜ʖ ͡°),Рекомендую
"Игра просто супер удивляет. Особенно скилл многих игроков, один выдаёт только хеды другой угадывает где все. Таланчище похоже готовится для Битвы Экстрасенсов. А особенно понравились дети, их навыки общения. То что они могут сводить твою мамку в кино на всех языках вообще удивляет",Рекомендую
"Если тут будет хотя бы один лайк, мне будет приятно :3⣿⣿⣿⠟⠛⠛⠻⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡟⢋⣩⣉⢻⣿⣿⣿⠀⣿⣶⣕⣈⠹⠿⠿⠿⠿⠟⠛⣛⢋⣰⠣⣿⣿⠀⣿⣿⣿⣿⡀⣿⣿⣿⣧⢻⣿⣶⣷⣿⣿⣿⣿⣿⣿⠿⠶⡝⠀⣿⣿⣿⣿⣷⠘⣿⣿⣿⢏⣿⣿⣋⣀⣈⣻⣿⣿⣷⣤⣤⣿⡐⢿⣿⣿⣿⣿⣆⢩⣝⣫⣾⣿⣿⣿⣿⡟⠿⠿⠦⠀⠸⠿⣻⣿⡄⢻⣿⣿⣿⣿⣿⡄⢻⣿⣿⣿⣿⣿⣿⣿⣿⣶⣶⣾⣿⣿⣿⣿⠇⣼⣿⣿⣿⣿⣿⣿⡄⢿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡟⣰⣿⣿⣿⣿⣿⣿⠇⣼⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⢀⣿⣿⣿⣿⣿⣿⠏⢰⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⢸⣿⣿⣿⣿⣿⠟⣰⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠀⣿⣿⣿⣿⠋⣴⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡄⣿⣿⣿⠋⣼⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡇⢸⣿⠏⣼⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡯⢸Буду рад реакциям и наградам <3",Рекомендую
"Кратко о системе званий:• Вы слили три игры подряд? - Понижение.• Вы выиграли семь игр подряд, а затем слили игру? - Понижение.• Ничья? - Понижение.• Вам попались ♥♥♥♥♥♥♥♥♥♥ы в команду? - Понижение.• Ваши друзья думают, что вы шутите о новой системе рангов? - Понижение.• Вас кикнули? - Бан и понижение.• Вам что-то не нравится? - Понижение.• Вы не открываете кейсы? - Понижение.• Вы зарегистрированы в Origin? - Понижение.• Вы выиграли пятнадцать игр подряд? - Кхм... Нууу... Мы подождём, пока вы проиграете.• Вы проиграли? - Понижение.• Вам выпал нож? - Понижение.• Вам не выпал нож? - Понижение.• Вам НЕ нравится новая система рангов? - Понижение.• Вам НРАВИТСЯ новая система рангов? - Прекрасно, понижение вам тоже понравится.• Вы не заходите в игру? - Понижение.• Вы заходите в игру? - Держите тупых тиммейтов.• Зачем? - Понижение.• Понижение? - Понижение.• Повышение? - Понижение.10/10 по шкале слива рангов!",Рекомендую
"Итак, что же такое CS GO?- CS GO это когда раскраски оружия стоят дороже крутых игровых девайсов.- CS GO это когда ты обязан дропнуть свой красивый калаш всей команде.- CS GO это когда открываешь 20 сундуков и получаешь 20 кусков синего г**на.- CS GO это когда тебя добавляют школьники и предлагают over 9000 сундуков в обмен на твой нож.- CS GO это когда тебя добавляет школьник и начинает выпрашивать в подарок шмотку ценой в 3500 рублей, приводя при этом аргумент ""да ты ж богатый, что тебе стоит!"".- CS GO это когда тебе по 10 раз в день присылают ссылки на трояны в надежде обчистить твой инвентарь.- CS GO это когда тебя выгоняют только потому что ты Русский.- CS GO это когда ты спалил свой стул после игры в соревновательном режиме.- CS GO это когда ""глобалы"" создают по 10 аккаунтов и получают удовлетворение, играя против ""калашей"".- CS GO это когда ты Russian Noob, если остался против пятерых, убил четверых но не добил пятого.- CS GO это когда ты Russian Noob при счете 21-7-10, а у ближайшего тиммейта 8-0-16.- CS GO это когда ты выучил польский и шведский за одну-две катки.- CS GO это когда в соревновательном режиме поляков больше, чем в самой Польше.- CS GO это когда ты в одиночку открываешь А, а бомба уже про***на на Б.- CS GO это когда на твои советы и вопросы тебе отвечают ""stfu Russian"".- CS GO это когда про***л три звания за день только из-за того, что каждый раз играешь против ""глобалов"", играющих со второго аккаунта.- CS GO это когда каждый третий тиммейт - набустенный сильвер.- CS GO это когда против тебя играет пять ♥♥♥♥♥♥♥♥♥♥ов с АВП.- CS GO это когда одного ""беркута"" и четырех ""калашей"" кидает против пяти ""супримов"".- CS GO это когда высаживаешь все 30 патронов в одного ♥♥♥♥♥♥♥♥♥♥а и наносиишь 99 in 7, а тот рандомным выстрелом попадает тебе в голову.- CS GO это когда VAC показательно банит профессиональных игроков, но не может забанить ♥♥♥♥♥♥♥♥♥♥а, который простреливает всю команду через три стены, имея при этом 2.2 часа в игре.Кому понравился отзыв поставте палец вверх и напиши чтонибудь в профиле моем ! Спасибо!!!!Все это CS GO!!! Не Болейте!!!!",Рекомендую
