character_class,image
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1077.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1078.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1079.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_108.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1080.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1081.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1082.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1083.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1084.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1085.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1086.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1087.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1088.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1089.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_109.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1090.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1091.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1092.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1093.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1094.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1095.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1096.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1097.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1098.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1099.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_11.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_110.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1100.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1101.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1102.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1103.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1104.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1105.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1106.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1107.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1108.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1109.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_111.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1110.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1111.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1112.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1113.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1114.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1115.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1116.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1117.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1118.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1119.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_112.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1120.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1121.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1122.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1123.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1124.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1125.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1126.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1127.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1128.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1129.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_113.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1130.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1131.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1132.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1133.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1134.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1135.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1136.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1137.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1138.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1139.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_114.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1140.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1141.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1142.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1143.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1144.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1145.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1146.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1147.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1148.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1149.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_115.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1150.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1151.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1152.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1153.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1154.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1155.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1156.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1157.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1158.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1159.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_116.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1160.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1161.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1162.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1163.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1164.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1165.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1166.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1167.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1168.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1169.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_117.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1170.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1171.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1172.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1173.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1174.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1175.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1176.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1177.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1178.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1179.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_118.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1180.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1181.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1182.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1183.jpg
Naruto,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1184.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1185.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1186.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1187.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1188.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1189.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_119.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1190.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1191.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1192.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1193.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1194.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1195.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1196.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1197.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1198.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1199.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_12.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_120.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1200.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1201.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1202.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1203.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1204.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1205.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1206.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1207.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1208.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1209.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_121.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1210.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1211.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1212.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1213.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1214.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1215.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1216.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1217.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1218.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1219.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_122.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1220.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1221.jpg
Kankuro,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1222.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1223.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1224.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1225.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1226.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1227.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1228.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1229.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_123.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1230.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1231.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1232.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1233.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1234.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1235.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1236.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1237.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1238.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1239.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_124.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1240.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1241.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1242.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1243.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1244.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1245.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1246.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1247.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1248.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1249.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_125.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1250.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1251.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1252.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1253.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1254.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1255.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1256.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1257.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1258.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1259.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_126.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1260.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1261.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1262.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1263.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1264.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1265.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1266.jpg
Naruto,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1267.jpg
Naruto,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1268.jpg
Naruto,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1269.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_127.jpg
Tsunade,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1270.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1271.jpg
Naruto,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1272.jpg
Naruto,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1273.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1274.jpg
Shikamaru,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1275.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1276.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1277.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1278.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1279.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_128.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1280.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1281.jpg
